Date,AAPL,GOOGL,AMZN,TSLA,MSFT
2024-01-02,175.0,140.0,153.0,240.0,375.0
2024-01-03,174.67,139.03,152.64,238.78,374.67
2024-01-04,180.49,141.63,156.89,248.91,376.47
2024-01-05,181.38,140.27,156.03,242.54,368.67
2024-01-08,185.31,143.98,156.14,249.28,369.56
2024-01-09,184.93,142.46,152.17,257.24,364.85
2024-01-10,184.8,144.51,148.5,261.83,365.14
2024-01-11,187.11,148.46,146.9,267.52,368.49
2024-01-12,189.66,145.65,148.13,269.77,361.03
2024-01-15,189.39,146.74,149.22,273.01,361.71
2024-01-16,182.29,145.2,151.37,274.59,368.19
2024-01-17,181.88,146.99,152.19,276.02,366.65
2024-01-18,183.95,150.2,147.83,264.09,360.34
2024-01-19,184.09,154.24,146.49,265.33,364.7
2024-01-22,185.51,156.66,145.4,272.09,368.13
2024-01-23,186.39,155.93,146.71,271.92,366.03
2024-01-24,182.19,157.67,148.94,268.48,361.7
2024-01-25,184.84,163.95,147.06,273.53,362.31
2024-01-26,183.2,167.1,143.21,263.11,374.25
2024-01-29,181.8,172.75,144.47,245.91,372.22
2024-01-30,183.59,175.82,148.12,247.4,369.34
2024-01-31,181.51,172.77,151.9,241.8,370.54
2024-02-01,182.34,172.16,151.06,231.9,369.05
2024-02-02,179.92,174.1,150.62,229.76,372.06
2024-02-05,179.45,171.76,149.05,227.99,363.77
2024-02-06,178.45,173.65,152.48,236.06,370.14
2024-02-07,177.2,168.75,152.14,237.19,371.95
2024-02-08,174.96,168.68,154.15,243.05,380.68
2024-02-09,174.9,170.29,154.33,249.24,383.18
2024-02-12,175.31,165.67,156.98,251.94,385.4
2024-02-13,177.98,167.16,161.78,255.56,382.57
2024-02-14,176.42,169.56,161.4,252.83,377.32
2024-02-15,176.64,172.08,162.24,251.23,379.27
2024-02-16,182.95,167.99,162.25,253.73,379.24
2024-02-19,184.17,164.55,161.86,255.81,376.98
2024-02-20,185.67,167.53,159.93,280.98,380.59
2024-02-21,187.03,170.57,156.42,285.07,373.95
2024-02-22,182.0,168.05,149.47,279.76,370.22
2024-02-23,181.36,164.88,149.56,270.72,367.4
2024-02-26,175.22,167.45,149.25,259.12,360.93
2024-02-27,177.7,162.72,151.45,270.43,357.35
2024-02-28,182.61,164.52,150.7,263.06,349.22
2024-02-29,181.14,160.63,146.0,269.79,349.45
2024-03-01,186.32,157.34,147.83,276.63,358.89
2024-03-04,183.05,157.72,154.17,269.95,360.75
2024-03-05,179.63,159.45,153.09,273.52,360.84
2024-03-06,181.29,161.27,155.36,281.86,359.28
2024-03-07,179.0,161.76,158.54,266.7,365.39
2024-03-08,177.65,159.79,155.54,271.8,365.56
2024-03-11,180.81,157.98,152.95,281.88,369.13
2024-03-12,178.06,158.66,154.49,281.03,365.8
2024-03-13,177.33,160.41,152.61,276.68,377.36
2024-03-14,177.07,158.36,148.83,272.96,377.73
2024-03-15,178.21,156.81,149.67,252.4,372.5
2024-03-18,180.37,155.48,155.84,246.33,378.02
2024-03-19,180.14,155.68,151.47,249.53,384.57
2024-03-20,176.76,153.55,149.12,239.59,389.21
2024-03-21,179.69,153.58,150.41,239.19,385.48
2024-03-22,188.03,154.12,148.74,245.86,380.2
2024-03-25,190.57,155.36,147.57,244.62,380.98
2024-03-26,192.36,156.48,146.91,251.28,374.4
2024-03-27,191.28,153.6,145.79,242.38,375.74
2024-03-28,190.58,153.8,145.12,240.06,373.09
2024-03-29,186.42,154.88,143.53,250.29,378.25
2024-04-01,188.34,153.34,145.6,243.78,375.17
2024-04-02,188.01,152.49,144.51,242.94,382.7
2024-04-03,191.96,155.74,142.74,270.45,381.98
2024-04-04,188.85,151.19,143.27,275.84,366.69
2024-04-05,193.05,156.16,145.1,277.09,362.72
2024-04-08,192.17,159.07,146.0,264.72,358.45
2024-04-09,190.37,158.4,147.33,260.87,359.21
2024-04-10,188.97,162.32,150.7,257.74,356.19
2024-04-11,187.2,160.04,145.17,248.6,365.63
2024-04-12,181.02,161.36,142.0,242.5,372.2
2024-04-15,182.94,158.05,139.56,245.87,366.05
2024-04-16,185.28,161.85,136.37,239.71,362.01
2024-04-17,189.14,160.36,136.67,241.73,366.11
2024-04-18,191.35,162.51,136.81,229.81,353.9
2024-04-19,193.43,163.1,139.71,220.56,361.34
2024-04-22,188.31,162.26,139.33,231.31,360.95
2024-04-23,188.94,161.02,136.35,237.64,365.27
2024-04-24,185.59,167.22,140.04,241.87,369.64
2024-04-25,184.84,165.62,143.22,246.56,375.36
2024-04-26,189.04,167.03,144.06,244.12,372.62
2024-04-29,189.21,168.82,148.98,250.74,376.69
2024-04-30,181.37,171.83,156.9,245.53,379.64
2024-05-01,178.54,174.78,155.38,251.59,374.67
2024-05-02,176.99,171.98,153.79,247.17,378.15
2024-05-03,176.42,172.05,156.32,252.46,364.96
2024-05-06,179.14,173.89,155.59,256.24,376.63
2024-05-07,181.61,174.8,158.12,259.49,378.52
2024-05-08,184.04,173.1,160.6,247.05,380.92
2024-05-09,184.8,172.0,159.22,241.1,382.26
2024-05-10,184.0,171.96,162.51,248.33,386.62
2024-05-13,183.01,169.14,165.08,246.61,396.78
2024-05-14,184.35,169.14,164.45,245.18,402.65
2024-05-15,187.18,170.74,168.07,242.36,409.57
2024-05-16,191.9,172.23,177.69,249.91,408.04
2024-05-17,192.26,173.65,180.42,251.35,420.52
2024-05-20,193.24,171.42,176.12,249.03,423.2
2024-05-21,197.91,167.31,175.44,244.19,419.97
2024-05-22,194.55,168.26,174.25,243.24,419.01
2024-05-23,197.18,166.54,172.03,240.95,405.49
2024-05-24,194.77,167.6,174.06,248.27,410.93
2024-05-27,199.81,171.66,180.37,249.4,417.51
2024-05-28,204.38,172.25,181.31,247.96,406.86
2024-05-29,209.84,171.76,178.28,220.35,416.0
2024-05-30,215.1,169.94,180.2,219.8,416.98
2024-05-31,218.08,167.61,176.51,221.57,421.82
2024-06-03,214.6,170.92,179.55,212.76,425.7
2024-06-04,216.38,164.75,180.5,220.17,428.33
2024-06-05,219.57,164.36,178.95,214.72,429.36
2024-06-06,221.33,167.37,176.62,207.25,420.32
2024-06-07,221.01,164.9,178.16,200.99,417.66
2024-06-10,221.65,164.81,182.13,196.05,426.19
2024-06-11,223.11,164.2,186.78,194.69,415.59
2024-06-12,219.54,165.68,187.48,191.98,419.72
2024-06-13,222.01,169.34,188.67,191.18,425.63
2024-06-14,224.07,168.3,188.18,188.43,417.99
2024-06-17,223.69,165.82,185.17,185.27,426.98
2024-06-18,226.17,164.27,182.6,172.79,433.25
2024-06-19,230.47,169.15,187.25,174.33,442.42
2024-06-20,226.81,174.22,185.0,176.21,447.39
2024-06-21,232.24,175.39,190.28,182.56,449.18
2024-06-24,236.11,177.08,188.39,177.14,446.9
2024-06-25,240.01,175.47,182.93,180.7,460.28
2024-06-26,243.94,178.2,181.12,181.12,466.4
2024-06-27,246.83,177.59,182.28,188.14,472.01
2024-06-28,246.93,175.4,181.83,192.84,474.97
2024-07-01,244.13,176.12,183.66,200.1,471.71
2024-07-02,246.23,175.39,190.98,201.31,465.08
2024-07-03,246.85,176.02,192.14,201.54,453.95
2024-07-04,244.21,176.0,192.2,205.39,449.66
2024-07-05,251.18,176.99,190.59,213.87,450.4
2024-07-08,254.66,177.39,189.92,213.98,456.56
2024-07-09,253.5,182.44,195.63,209.98,454.91
2024-07-10,247.22,184.55,199.84,212.53,452.92
2024-07-11,244.0,183.7,205.91,214.54,446.16
2024-07-12,246.01,185.23,206.96,207.66,450.78
2024-07-15,245.09,183.68,204.78,201.61,453.5
2024-07-16,240.02,183.73,205.17,199.13,446.42
2024-07-17,241.14,181.03,204.44,196.81,447.42
2024-07-18,240.62,178.32,209.85,199.71,450.82
2024-07-19,239.17,178.77,212.87,203.09,451.32
2024-07-22,234.5,175.06,205.91,198.39,450.32
2024-07-23,235.85,175.49,201.72,192.29,445.89
2024-07-24,231.9,174.55,200.85,185.08,448.29
2024-07-25,231.2,174.74,207.2,180.17,443.81
2024-07-26,235.59,176.68,204.82,180.82,447.59
2024-07-29,240.38,179.41,205.58,184.95,447.97
2024-07-30,239.98,180.58,207.22,186.02,444.74
2024-07-31,228.25,178.29,209.35,187.81,425.44
2024-08-01,231.1,180.06,211.79,180.65,441.7
2024-08-02,227.76,184.09,209.8,185.28,440.14
2024-08-05,222.77,185.03,213.61,187.08,433.23
2024-08-06,225.5,179.87,211.29,188.81,427.8
